transactions_id,sale_date,customer_id,gender,age,category,quantity,price_per_unit,cogs,total_sale
180,2022-11-05,117,Male,41,Clothing,3,300,129,1000
522,2022-07-09,52,Male,46,Beauty,3,500,145,1500
559,2022-12-12,5,Female,40,Clothing,4,300,84,1200
1180,2022-01-06,85,Male,41,Clothing,3,300,129,900
1522,2022-11-14,48,Male,46,Beauty,3,500,235,1500
1559,2022-08-20,49,Female,40,Clothing,4,300,144,1200
163,2022-10-31,144,Female,64,Clothing,3,50,23,150
303,2022-04-22,54,Male,19,Electronics,3,30,14.7,90
421,2022-04-08,66,Female,37,Clothing,3,500,235,1500
979,2022-05-18,6,Female,19,Beauty,1,25,10.5,25
1163,2022-05-04,120,Female,64,Clothing,3,50,27,150
1303,2022-03-19,58,Male,19,Electronics,3,30,15,90
1421,2022-01-17,59,Female,37,Clothing,3,500,185,1500
1979,2022-08-17,102,Female,19,Beauty,1,25,7.75,25
610,2022-12-18,137,Female,26,Beauty,2,300,93,600
1610,2022-11-23,1,Female,26,Beauty,2,300,102,600
32,2022-07-16,150,Male,30,Beauty,3,30,8.4,90
231,2022-07-09,50,Female,23,Clothing,3,50,26.5,150
683,2022-03-06,82,Male,38,Beauty,2,500,175,1000
1032,2022-04-01,1,Male,30,Beauty,3,30,10.5,90
1231,2022-01-29,12,Female,23,Clothing,3,50,23,150
1683,2022-05-04,98,Male,38,Beauty,2,500,220,1000
367,2022-12-30,123,Female,57,Electronics,1,50,18,50
391,2022-03-25,68,Male,19,Beauty,2,25,6.25,50
432,2022-03-10,17,Female,,Electronics,2,500,190,1000
1367,2022-04-15,16,Female,,Electronics,1,50,15.5,50
1391,2022-03-01,130,Male,,Beauty,2,25,9.25,50
1432,2022-12-25,67,Female,,Electronics,2,500,245,1000
150,2022-04-13,89,Female,,Electronics,4,30,16.2,120
845,2022-10-27,25,Male,,Clothing,1,500,145,500
1150,2022-08-22,77,Female,,Electronics,4,30,10.2,120
1845,2022-05-24,94,Male,,Clothing,1,500,185,500
797,2022-09-16,116,Male,,Clothing,3,25,10.75,75
921,2022-09-28,101,Male,,Electronics,3,25,8,75
1797,2022-04-16,147,Male,40,Clothing,3,25,12.25,75
1921,2022-02-08,77,Male,51,Electronics,3,25,7.5,75
291,2022-11-22,15,Male,60,Clothing,2,300,126,600
907,2022-09-02,145,Female,45,Electronics,1,25,8.5,25
1291,2022-04-04,72,Male,60,Clothing,2,300,153,600
1907,2022-11-17,115,Female,45,Electronics,1,25,9,25
860,2022-04-11,85,Male,63,Clothing,4,50,16,200
1860,2022-03-12,57,Male,63,Clothing,4,50,18,200
184,2022-02-13,128,Male,31,Electronics,4,50,17,200
734,2022-03-12,77,Female,27,Clothing,1,30,15.6,30
1184,2022-02-12,23,Male,31,Electronics,4,50,27.5,200
1734,2022-02-28,72,Female,27,Clothing,1,30,14.4,30
225,2022-03-05,85,Female,57,Beauty,4,25,12.75,100
679,2022-08-26,64,Female,18,Beauty,,,,
746,2022-07-05,42,Female,33,Clothing,,,,
1225,2022-02-02,137,Female,57,Beauty,,,,
1679,2022-09-23,71,Female,18,Beauty,3,30,15.3,90
1746,2022-06-13,88,Female,33,Clothing,3,30,10.8,90
3,2022-06-14,114,Male,50,Electronics,1,30,8.1,30
464,2022-03-06,24,Male,38,Electronics,2,300,75,600
484,2022-03-13,135,Female,19,Clothing,4,300,75,1200
591,2022-03-21,94,Male,53,Electronics,4,25,6.5,100
1003,2022-01-26,80,Male,50,Electronics,1,30,15.9,30
1464,2022-11-13,80,Male,38,Electronics,2,300,126,600
1484,2022-11-23,22,Female,19,Clothing,4,300,147,1200
1591,2022-09-29,62,Male,53,Electronics,4,25,7,100
21,2022-07-11,59,Female,50,Beauty,1,500,275,500
708,2022-04-06,62,Female,43,Beauty,3,300,87,900
713,2022-04-16,39,Male,34,Beauty,3,25,11.25,75
768,2022-06-27,58,Female,24,Beauty,3,25,10.5,75
1021,2022-06-11,44,Female,50,Beauty,1,500,155,500
1708,2022-02-08,41,Female,43,Beauty,3,300,162,900
1713,2022-10-03,90,Male,34,Beauty,3,25,10.75,75
1768,2022-07-31,85,Female,24,Beauty,3,25,8.75,75
499,2022-04-03,15,Male,46,Beauty,2,30,16.5,60
697,2022-12-25,152,Male,53,Clothing,1,500,200,500
831,2022-11-30,149,Male,27,Electronics,4,25,13.75,100
1499,2022-09-23,3,Male,46,Beauty,2,30,11.7,60
1697,2022-12-18,54,Male,53,Clothing,1,500,265,500
1831,2022-03-26,80,Male,27,Electronics,4,25,6.5,100
15,2022-07-01,75,Female,42,Electronics,4,500,210,2000
743,2022-08-07,55,Female,34,Beauty,4,500,260,2000
1015,2022-03-09,94,Female,42,Electronics,4,500,200,2000
1743,2022-10-26,47,Female,34,Beauty,4,500,250,2000
14,2022-05-18,8,Male,64,Clothing,4,30,13.2,120
103,2022-11-12,33,Female,59,Clothing,1,25,10.75,25
238,2022-05-10,20,Female,39,Beauty,1,500,150,500
986,2022-08-01,65,Female,49,Clothing,2,500,200,1000
1014,2022-02-04,147,Male,64,Clothing,4,30,11.4,120
1103,2022-02-14,61,Female,59,Clothing,1,25,6.75,25
1238,2022-09-17,129,Female,39,Beauty,1,500,165,500
1986,2022-09-14,29,Female,49,Clothing,2,500,145,1000
438,2022-08-31,88,Female,42,Clothing,1,30,15.9,30
1438,2022-01-07,72,Female,42,Clothing,1,30,13.8,30
475,2022-08-12,78,Male,26,Clothing,3,25,9,75
505,2022-12-17,86,Male,24,Beauty,1,50,19.5,50
1475,2022-10-04,132,Male,26,Clothing,3,25,10.75,75
1505,2022-10-30,98,Male,24,Beauty,1,50,14.5,50
344,2022-07-17,69,Female,42,Beauty,1,30,7.5,30
448,2022-03-19,86,Female,54,Beauty,2,30,16.2,60
742,2022-03-19,37,Female,38,Electronics,4,500,195,2000
1344,2022-12-18,144,Female,42,Beauty,1,30,11.1,30
1448,2022-05-16,51,Female,54,Beauty,2,30,9.3,60
1742,2022-11-22,18,Female,38,Electronics,4,500,220,2000
445,2022-04-14,132,Female,53,Electronics,1,300,138,300
787,2022-06-10,25,Male,41,Electronics,1,25,13.75,25
1445,2022-04-19,31,Female,53,Electronics,1,300,129,300
1787,2022-05-30,104,Male,41,Electronics,1,25,10,25
49,2022-09-17,37,Female,54,Electronics,2,500,255,1000
420,2022-01-02,28,Female,22,Clothing,4,500,200,2000
519,2022-04-08,52,Female,36,Electronics,4,30,16.5,120
1049,2022-05-16,143,Female,54,Electronics,2,500,125,1000
1420,2022-04-15,138,Female,22,Clothing,4,500,205,2000
1519,2022-01-08,139,Female,36,Electronics,4,30,9.3,120
64,2022-11-15,7,Male,49,Clothing,4,25,8.5,100
592,2022-12-26,77,Female,46,Beauty,4,500,275,2000
912,2022-10-31,122,Male,51,Beauty,3,50,20.5,150
1064,2022-04-14,49,Male,49,Clothing,4,25,13.75,100
1592,2022-03-16,81,Female,46,Beauty,4,500,155,2000
1912,2022-05-27,146,Male,51,Beauty,3,50,22,150
134,2022-08-25,132,Male,49,Electronics,1,50,16,50
1134,2022-08-05,106,Male,49,Electronics,1,50,24,50
288,2022-05-02,27,Male,28,Clothing,4,30,12,120
323,2022-01-21,97,Female,29,Beauty,3,300,150,900
618,2022-10-13,5,Female,27,Beauty,1,50,26,50
720,2022-04-08,116,Female,56,Beauty,3,500,235,1500
1288,2022-04-05,26,Male,28,Clothing,4,30,9,120
1323,2022-08-15,136,Female,29,Beauty,3,300,114,900
1618,2022-09-15,118,Female,27,Beauty,1,50,13.5,50
1720,2022-10-10,28,Female,56,Beauty,3,500,190,1500
415,2022-01-05,85,Male,53,Clothing,2,30,8.1,60
736,2022-12-18,97,Male,29,Clothing,4,25,9.75,100
929,2022-03-11,40,Female,23,Beauty,3,25,10.5,75
1415,2022-03-06,146,Male,53,Clothing,2,30,15.3,60
1736,2022-08-28,87,Male,29,Clothing,4,25,10.25,100
1929,2022-09-15,62,Female,23,Beauty,3,25,12.75,75
264,2022-12-26,111,Male,47,Clothing,3,300,150,900
913,2022-10-12,78,Male,29,Electronics,3,30,16.5,90
940,2022-01-05,46,Female,20,Electronics,1,30,9.6,30
1264,2022-05-27,82,Male,47,Clothing,3,300,123,900
1913,2022-06-23,101,Male,29,Electronics,3,30,14.1,90
1940,2022-06-15,56,Female,20,Electronics,1,30,11.1,30
101,2022-01-08,24,Male,32,Clothing,2,300,135,600
1101,2022-05-17,15,Male,32,Clothing,2,300,132,600
189,2022-01-02,143,Male,63,Beauty,1,50,14.5,50
317,2022-05-04,117,Male,22,Electronics,3,30,12,90
322,2022-10-19,13,Male,51,Electronics,1,500,125,500
329,2022-10-27,52,Female,46,Electronics,4,25,8,100
1189,2022-12-07,104,Male,63,Beauty,1,50,20.5,50
1317,2022-08-25,144,Male,22,Electronics,3,30,12,90
1322,2022-11-14,10,Male,51,Electronics,1,500,250,500
1329,2022-01-27,119,Female,46,Electronics,4,25,9.25,100
235,2022-03-10,132,Female,23,Electronics,2,500,275,1000
300,2022-01-08,138,Female,19,Electronics,4,50,26.5,200
964,2022-08-26,15,Male,24,Clothing,3,300,156,900
1235,2022-04-04,87,Female,23,Electronics,2,500,220,1000
1300,2022-08-08,7,Female,19,Electronics,4,50,24,200
1964,2022-08-02,115,Male,24,Clothing,3,300,111,900
